Sigla,Descrição da Sigla,Componente,Descrição do Componente,Domínio Funcional
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-agendamento-pix,"Sistema batch Java responsável por processar agendamentos PIX do banco de dados CCBD. O sistema recupera lançamentos agendados para uma data específica, processa-os e publica mensagens em filas RabbitMQ para processamento posterior. Trata-se de um job batch que executa em lote, lendo registros do banco SQL Server e enviando para fila de mensageria.",02.01 - Agendamento e Recorrência
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-analitico-contabil,"Sistema de processamento batch Java responsável por extrair movimentações contábeis analíticas de contas correntes do banco Sybase (DBCONTACORRENTE) e gravar essas informações em uma base MySQL (CCBDContaCorrente). O sistema processa lotes de movimentações contábeis de forma incremental, consultando lotes pendentes de processamento, extraindo as movimentações do dia anterior (D-1) e persistindo os dados analíticos com informações de débito/crédito, contas contábeis e metadados das transações.",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-atualiza-saldos,"Sistema batch Java responsável pela virada de data de contas correntes (atualização de saldos). O processo realiza a movimentação das datas de controle das agências, bloqueando temporariamente as movimentações, processando as contas em faixas paralelas (threads) e atualizando os saldos para o próximo dia útil. Utiliza mensageria RabbitMQ para distribuir o processamento das faixas de contas e integra-se com banco de dados MySQL (CCBDContaCorrente) e Sybase (dbglobal) para controle de calendário e",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-bolsao-inicial,"O sistema **javabatch-ccbd-base-bolsao-inicial** é um processamento batch Java desenvolvido para ler arquivos de movimentação bancária no formato M06, processar os dados e publicar mensagens em filas RabbitMQ. O sistema lê arquivos de um diretório específico, extrai informações de movimentações financeiras (débitos/créditos), converte os dados para o formato JSON e publica em uma fila para processamento posterior. Após o processamento bem-sucedido, os arquivos são movidos para um diretório de pr",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-deb-aut-baixa-fatura,"Sistema batch Java responsável por processar pagamentos de débito automático de faturas. O sistema consulta pagamentos com status específico em uma data determinada, agrupa-os em lotes e publica mensagens em uma fila RabbitMQ para processamento posterior de baixa de faturas. Utiliza o framework BV Sistemas para processamento batch com padrão Reader-Processor-Writer.",02.01 - Agendamento e Recorrência
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-deb-automatico-pgmt,"Sistema batch Java responsável pelo processamento automático de débitos agendados (pagamentos). O sistema consulta lançamentos de débito automático com vencimento na data atual, publica mensagens em fila RabbitMQ para processamento de liquidação e registra histórico das operações. Trata-se de um job batch que processa pagamentos de cartões e financiamentos através de débito automático em conta corrente.",02.01 - Agendamento e Recorrência
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-debito-auto-credito-baixa-digital,"O sistema **javabatch-ccbd-base-debito-auto-credito-baixa-digital** é um job batch Java desenvolvido para processar pagamentos de débito automático. Sua função principal é buscar remessas de pagamento de débito automático do banco de dados MySQL, transformá-las em mensagens JSON e publicá-las em uma fila RabbitMQ para processamento posterior. O sistema também atualiza o status de agendamentos pendentes antes de iniciar o processamento das remessas. O batch segue o padrão Reader-Processor-Writer,",02.01 - Agendamento e Recorrência
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-debito-auto-credito-baixas,"O sistema **javabatch-ccbd-base-debito-auto-credito-baixas** é um job batch Java desenvolvido para processar débitos automáticos e gerar arquivos de retorno (remessa) no padrão CNAB 240. O sistema busca pagamentos de débito automático agendados no banco de dados MySQL, processa as informações conforme o status de cada pagamento, e gera um arquivo de retorno formatado contendo headers, detalhes e trailers. Antes do processamento principal, o sistema finaliza automaticamente agendamentos pendentes",02.01 - Agendamento e Recorrência
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-debito-auto-credito,"Sistema batch Java responsável por processar arquivos de remessa de débito automático. O sistema lê arquivos de entrada em formato texto posicional (padrão FEBRABAN), extrai informações de pagamentos de débito automático, valida os dados e publica mensagens em filas RabbitMQ para processamento posterior. Após o processamento bem-sucedido, os arquivos são movidos para pasta de processados; em caso de erro, são movidos para pasta de erro.",02.01 - Agendamento e Recorrência
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-debito-auto-notificacao,"Sistema batch Java responsável por processar notificações de vencimento de débito automático. O sistema consulta lançamentos agendados no banco de dados MySQL (tabela `TbPagamentoDebitoAutomatico`) com vencimento em D+1, D+4 e D+7, e publica mensagens em filas RabbitMQ para notificar clientes sobre os vencimentos próximos. O processamento diferencia produtos de crédito pessoal/fácil (tipos 3 e 4) dos demais produtos (cartão e financiamento), direcionando para filas distintas.",02.01 - Agendamento e Recorrência
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-debito-formc30,"O sistema **javabatch-ccbd-base-debito-formc30** é um processador batch Java desenvolvido para ler, processar e enviar para fila RabbitMQ os dados de transações e ocorrências de cartões de débito provenientes de arquivos no formato FormC30 (formato de arquivo de bandeiras de cartão). O sistema realiza as seguintes operações principais: - Lê arquivos FormC30 de um diretório específico - Processa registros de transações (B1/B2) e ocorrências (B7/B8) - Converte os dados para o formato de conciliaçã",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-debito-gerar-arquivo-iss,"Sistema batch Java responsável por gerar arquivo CSV de movimentações de débito ISS (Imposto Sobre Serviços) para transações de cartão de débito. O processo consulta transações do dia anterior no banco de dados DBCCBD, processa os dados aplicando regras de negócio e formatação, e gera um arquivo CSV com nome padrão `MovDebito_ddMMyyyy.csv` contendo detalhes das transações para fins fiscais/contábeis.",04.09 - Tributos
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-debito-iss,"Sistema batch Java responsável por consultar transações de débito de ISS (Imposto Sobre Serviços) no banco de dados DBCONTACORRENTE e publicar essas informações em uma fila RabbitMQ para processamento posterior. O batch busca transações dos últimos 3 dias, filtra por critérios específicos de transação e liquidação, e envia os dados em formato JSON para consumo por outros sistemas.",04.09 - Tributos
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-debito-master-base2,"Sistema de processamento batch desenvolvido em Java para leitura, processamento e conciliação de registros de transações de débito da bandeira de cartões (CCBD - Cartão de Crédito Banco Digital). O sistema lê arquivos de texto posicionais contendo transações (tipo T112), processa os registros de detalhes, transforma os dados em objetos de conciliação e publica as informações em filas RabbitMQ para processamento posterior. Após o processamento bem-sucedido, os arquivos são movidos para diretório ",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-debito-t464,"O sistema **javabatch-ccbd-base-debito-t464** é um processamento batch Java desenvolvido para ler, processar e enviar registros de transações de débito da bandeira Mastercard (arquivo T464) para uma fila RabbitMQ. O sistema lê arquivos no formato DBK contendo registros financeiros e não-financeiros, processa as informações de transações, realiza mapeamento de dados e publica mensagens em formato JSON para consumo por outros sistemas. O processamento segue o padrão Reader-Processor-Writer do fram",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-debito-tif,"Sistema de processamento batch Java responsável por ler arquivos TIF (Transaction Interchange Format) contendo transações de débito de cartões, processar os registros e publicar as informações em uma fila RabbitMQ para conciliação. O sistema faz parte do módulo CCBD (Centro de Controle de Base de Débito) da Votorantim e processa arquivos posicionais com dados de transações financeiras, realizando parsing, transformação e envio para sistemas downstream via mensageria.",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-debito-visa-base2,"Sistema de processamento batch Java desenvolvido para ler, processar e enviar registros de transações de débito VISA (Base II) para uma fila RabbitMQ. O sistema lê arquivos de texto posicionais contendo transações da bandeira VISA, extrai informações dos registros TCR0 (principal) e TCR5 (complementar), transforma os dados em objetos de conciliação (RecordConciliation) e publica as mensagens em formato JSON em uma fila para processamento posterior. O batch utiliza o framework BV Sistemas para ge",02.03 - Transação e Processamento
CCDB-BASE,Conta Corrente e Débitos - Base,javabatch-ccbd-base-extrato-rendimento,"Sistema batch Java responsável por gerar arquivos de extrato bancário no formato CNAB 240 para o Banco Rendimento. O sistema consulta movimentações de débitos veiculares (IPVA, licenciamento, multas, etc.) em um período específico e gera arquivos padronizados contendo header, lotes de detalhes e trailers, seguindo o layout CNAB 240 do Itaú/Banco Rendimento.",02.03 - Transação e Processamento
